stage,model,accuracy,f1_macro,f1_weighted,roc_auc_ovr_macro,family
Early,Logistic Regression (Early),0.6692307692307692,0.510613499975202,0.6291806393279388,0.7422959584079987,Logistic Regression
Early,XGBoost (Early),0.6076923076923076,0.5023961792317468,0.6004550485795105,0.7060593169372433,XGBoost
Early,Random Forest (Early),0.6,0.3154228855721393,0.5129735935706086,0.7316574989484689,Random Forest
Mid-term,Random Forest (Mid),0.8846153846153846,0.8408423215202877,0.8792831575204456,0.9533390039911779,Random Forest
Mid-term,XGBoost (Mid),0.8769230769230769,0.8406485303037027,0.8745900883831919,0.9427766584957222,XGBoost
Mid-term,Logistic Regression (Mid),0.8307692307692308,0.787919896640827,0.8295319022063208,0.9479249670804855,Logistic Regression
