model,accuracy,f1_macro,f1_weighted,roc_auc_ovr_macro,stage
Random Forest (Mid),0.8846153846153846,0.8408423215202877,0.8792831575204456,0.9533390039911779,Mid-term
XGBoost (Mid),0.8769230769230769,0.8406485303037027,0.8745900883831919,0.9427766584957222,Mid-term
Logistic Regression (Mid),0.8307692307692308,0.787919896640827,0.8295319022063208,0.9479249670804855,Mid-term
