model,accuracy,f1_macro,f1_weighted,roc_auc_ovr_macro
Logistic Regression (Early),0.6692307692307692,0.510613499975202,0.6291806393279388,0.7422959584079987
XGBoost (Early),0.6076923076923076,0.5023961792317468,0.6004550485795105,0.7060593169372433
Random Forest (Early),0.6,0.3154228855721393,0.5129735935706086,0.7316574989484689
